loss,acc,comms,bits
0.8054112674713135,72.82,1000,1197572080
0.8024509366989135,73.1,1000,1197572080
0.8133701606750489,73.03,1000,1197572080
0.8039108633041382,73.19,1000,1197572080
0.7939582828521728,73.31,1000,1197572080
0.7965689334869385,73.18,1000,1197572080
0.7856483840942383,73.84,1000,1197572080
0.8006186098098755,72.8,1000,1197572080
0.7876818008422851,73.26,1000,1197572080
0.81355575466156,72.64,1000,1197572080
0.8258223728179932,72.79,1000,1197572080
0.8340139331817626,72.97,1000,1197572080
0.791106587600708,73.19,1000,1197572080
0.812733690071106,73.2,1000,1197572080
0.7965816291809082,72.83,1000,1197572080
0.8157542795181274,73.24,1000,1197572080
0.7982342542648315,73.03,1000,1197572080
0.7874413167953491,73.22,1000,1197572080
0.8062259080886841,72.95,1000,1197572080
0.7894855897903442,73.78,1000,1197572080
0.7786143619537353,73.67,1000,1197572080
0.8016605495452881,73.18,1000,1197572080
0.8141006343841553,72.29,1000,1197572080
0.8027347240447998,73.02,1000,1197572080
0.8004608224868774,73.58,1000,1197572080
0.7888924463272095,73.64,1000,1197572080
0.8098777124404907,73.53,1000,1197572080
0.8186207387924195,73.34,1000,1197572080
0.8178738965988159,73.02,1000,1197572080
0.8174028001785278,73.32,1000,1197572080
0.8135814228057862,73.31,1000,1197572080
0.8028943532943725,73.28,1000,1197572080
0.8005554050445557,73.12,1000,1197572080
0.7884047969818115,73.86,1000,1197572080
0.7779371032714844,73.65,1000,1197572080
0.7960454414367676,73.27,1000,1197572080
0.7857433002471924,73.38,1000,1197572080
0.8001927892684937,74.2,1000,1197572080
0.8281501760482788,73.37,1000,1197572080
0.7997486305236816,73.75,1000,1197572080
0.7927365352630615,73.84,1000,1197572080
0.8012793279647827,73.86,1000,1197572080
0.7908717178344726,73.68,1000,1197572080
0.7938532068252564,73.94,1000,1197572080
0.8037838783264161,73.52,1000,1197572080
0.8120224161148071,73.53,1000,1197572080
0.7814516847610473,73.68,1000,1197572080
0.7875205631256104,73.9,1000,1197572080
0.8100178936004638,73.7,1000,1197572080
0.792491541671753,73.92,1000,1197572080
0.7803133007049561,73.87,1000,1197572080
0.8090327884674072,73.95,1000,1197572080
0.7863148609161377,73.83,1000,1197572080
0.7921065010070801,73.54,1000,1197572080
0.7818756805419922,74.49,1000,1197572080
0.7963031463623047,74.16,1000,1197572080
0.8093765493392945,73.77,1000,1197572080
0.7954041025161743,73.83,1000,1197572080
0.8256782506942749,72.5,1000,1197572080
0.8076719331741333,73.52,1000,1197572080
0.7895909461975098,74.05,1000,1197572080
0.8082957094192504,73.26,1000,1197572080
0.7798402273178101,74.33,1000,1197572080
0.7892705558776856,73.91,1000,1197572080
0.8051126474380493,73.86,1000,1197572080
0.801367862701416,74.08,1000,1197572080
0.8218272953033448,73.59,1000,1197572080
0.796574404335022,73.89,1000,1197572080
0.8047369260787964,74.06,1000,1197572080
0.7948591651916503,73.62,1000,1197572080
0.7647181394577026,74.56,1000,1197572080
0.7693692459106445,74.53,1000,1197572080
0.8102541646957397,73.74,1000,1197572080
0.8195534246444702,72.86,1000,1197572080
